logFC,ensid
ENSG00000124762,4.02205838095909,ENSG00000124762
ENSG00000131080,4.32689399782292,ENSG00000131080
ENSG00000163071,3.92014116420701,ENSG00000163071
ENSG00000159388,2.31562177049074,ENSG00000159388
ENSG00000130513,2.75874111984366,ENSG00000130513
ENSG00000107796,5.32087933704803,ENSG00000107796
ENSG00000115129,2.30871675020332,ENSG00000115129
ENSG00000135679,2.26431517540664,ENSG00000135679
ENSG00000105327,2.04661568839697,ENSG00000105327
ENSG00000205978,3.03202759456363,ENSG00000205978
ENSG00000161513,1.89979501288712,ENSG00000161513
ENSG00000173535,4.32258779660087,ENSG00000173535
ENSG00000267645,2.50509644267735,ENSG00000267645
ENSG00000225511,5.00327508134738,ENSG00000225511
ENSG00000251095,5.0608068395217,ENSG00000251095
ENSG00000185055,4.17083064152323,ENSG00000185055
ENSG00000178947,4.0110658721239,ENSG00000178947
ENSG00000130766,1.96289905656659,ENSG00000130766
ENSG00000069812,3.06175198730284,ENSG00000069812
ENSG00000116717,2.43025483984,ENSG00000116717
ENSG00000026103,3.64070898472249,ENSG00000026103
ENSG00000080546,1.90690781510846,ENSG00000080546
ENSG00000206075,4.28656182942415,ENSG00000206075
ENSG00000124067,2.27290791992217,ENSG00000124067
ENSG00000138271,3.17738824763267,ENSG00000138271
ENSG00000029534,3.11452206489234,ENSG00000029534
ENSG00000186994,3.78007133875296,ENSG00000186994
ENSG00000164125,3.09750423851812,ENSG00000164125
ENSG00000100298,7.64909779215667,ENSG00000100298
ENSG00000248429,3.43313134320665,ENSG00000248429
ENSG00000189275,7.97218635161926,ENSG00000189275
ENSG00000224818,6.9146278037313,ENSG00000224818
ENSG00000167118,1.7203141761557,ENSG00000167118
ENSG00000120889,1.5364721996212,ENSG00000120889
ENSG00000172667,2.32619587540289,ENSG00000172667
ENSG00000185088,1.90343472028992,ENSG00000185088
ENSG00000161888,-1.65465366208195,ENSG00000161888
ENSG00000103064,1.66234739469862,ENSG00000103064
ENSG00000132386,3.85220811536436,ENSG00000132386
ENSG00000228526,2.07978078085189,ENSG00000228526
ENSG00000024526,-1.76857577424673,ENSG00000024526
ENSG00000118193,-1.68800677961495,ENSG00000118193
ENSG00000066279,-1.61833603148592,ENSG00000066279
ENSG00000134222,-1.70982676586133,ENSG00000134222
ENSG00000196866,-2.35300877894873,ENSG00000196866
ENSG00000087088,1.35697083491298,ENSG00000087088
ENSG00000144452,1.66516177506625,ENSG00000144452
ENSG00000136378,3.81086730774599,ENSG00000136378
ENSG00000161544,4.9741560888014,ENSG00000161544
ENSG00000123384,2.52339122373427,ENSG00000123384
ENSG00000184357,-2.07275870014551,ENSG00000184357
ENSG00000164938,2.18966409259771,ENSG00000164938
ENSG00000128342,1.79377943990786,ENSG00000128342
ENSG00000274641,-1.87760253978005,ENSG00000274641
ENSG00000250021,9.97440675016,ENSG00000250021
ENSG00000277075,-1.99576676952499,ENSG00000277075
ENSG00000154839,-2.26096808358218,ENSG00000154839
ENSG00000181026,1.4495377301082,ENSG00000181026
ENSG00000276410,-2.30273341671871,ENSG00000276410
ENSG00000197852,1.55608235152154,ENSG00000197852
ENSG00000145386,-1.65242280410831,ENSG00000145386
ENSG00000167656,3.26649703482342,ENSG00000167656
ENSG00000176046,2.96395956033744,ENSG00000176046
ENSG00000152229,1.97762236500441,ENSG00000152229
ENSG00000113328,1.42709618508408,ENSG00000113328
ENSG00000177551,5.17880099258364,ENSG00000177551
ENSG00000137975,7.69259848619523,ENSG00000137975
ENSG00000278677,-1.84190225025748,ENSG00000278677
ENSG00000078237,1.5964804942152,ENSG00000078237
ENSG00000197153,-2.25102381055357,ENSG00000197153
ENSG00000055163,1.32994746557096,ENSG00000055163
ENSG00000273983,-1.99712188683299,ENSG00000273983
ENSG00000112984,-1.66713436854626,ENSG00000112984
ENSG00000273703,-2.13713458169819,ENSG00000273703
ENSG00000213398,4.53352851970231,ENSG00000213398
ENSG00000124343,3.36545386747498,ENSG00000124343
ENSG00000144908,7.2356305938136,ENSG00000144908
ENSG00000184254,2.28639991070823,ENSG00000184254
ENSG00000170324,6.82580427577478,ENSG00000170324
ENSG00000161800,-1.31036803582712,ENSG00000161800
ENSG00000135423,2.06667165487399,ENSG00000135423
ENSG00000154127,3.93620820073802,ENSG00000154127
ENSG00000112742,-1.46346245946423,ENSG00000112742
ENSG00000196747,-1.82976018153136,ENSG00000196747
ENSG00000130517,1.33441094681076,ENSG00000130517
ENSG00000185130,-2.24889837667307,ENSG00000185130
ENSG00000089486,3.2632381210168,ENSG00000089486
ENSG00000225255,4.54043386776702,ENSG00000225255
