logFC,ensid
ENSG00000184985,7.78016752815629,ENSG00000184985
ENSG00000130600,6.59114323912848,ENSG00000130600
ENSG00000198074,7.22510583375649,ENSG00000198074
ENSG00000270181,-14.5609505726977,ENSG00000270181
ENSG00000115129,4.60927522033661,ENSG00000115129
ENSG00000260537,4.27951957217196,ENSG00000260537
ENSG00000261150,4.23785799925024,ENSG00000261150
ENSG00000086570,5.35562330738834,ENSG00000086570
ENSG00000144452,4.47790816454524,ENSG00000144452
ENSG00000179023,5.34880608431435,ENSG00000179023
ENSG00000277224,-3.34262384090754,ENSG00000277224
ENSG00000107796,3.33093019870946,ENSG00000107796
ENSG00000248919,4.67040456795797,ENSG00000248919
ENSG00000138131,4.37801249329001,ENSG00000138131
ENSG00000119630,3.54489813196324,ENSG00000119630
ENSG00000196562,3.21829606163967,ENSG00000196562
ENSG00000270276,-3.07924620406404,ENSG00000270276
ENSG00000069812,2.97989247616316,ENSG00000069812
ENSG00000163584,-3.17406892582706,ENSG00000163584
ENSG00000196866,-3.43106005384306,ENSG00000196866
ENSG00000269693,4.37294052799291,ENSG00000269693
ENSG00000151640,3.80372912168168,ENSG00000151640
ENSG00000147434,7.48237678260745,ENSG00000147434
ENSG00000173156,2.79312769457425,ENSG00000173156
ENSG00000089486,3.92491581641487,ENSG00000089486
ENSG00000165272,3.14845173669844,ENSG00000165272
ENSG00000267303,8.37037595641088,ENSG00000267303
ENSG00000053747,2.7308300103978,ENSG00000053747
ENSG00000002079,4.39975274603967,ENSG00000002079
ENSG00000065320,2.99585598338099,ENSG00000065320
ENSG00000273333,9.09261289410468,ENSG00000273333
ENSG00000278463,-2.60460717669263,ENSG00000278463
ENSG00000085117,3.232995761895,ENSG00000085117
ENSG00000233822,-2.63538238102649,ENSG00000233822
ENSG00000248527,-11.038134192962,ENSG00000248527
ENSG00000137975,6.81818491922378,ENSG00000137975
ENSG00000164938,2.6598613226192,ENSG00000164938
ENSG00000168427,4.47814788012089,ENSG00000168427
ENSG00000278246,6.4812464899688,ENSG00000278246
