logFC,ensid
ENSG00000189143,-5.80711044691284,ENSG00000189143
ENSG00000118193,-5.3691779183565,ENSG00000118193
ENSG00000124762,4.38981614576873,ENSG00000124762
ENSG00000117399,-4.47093553215257,ENSG00000117399
ENSG00000164938,4.18749849584059,ENSG00000164938
ENSG00000145386,-4.52871798657102,ENSG00000145386
ENSG00000072571,-4.51474430558709,ENSG00000072571
ENSG00000166851,-4.32732340555417,ENSG00000166851
ENSG00000146670,-4.02639533026879,ENSG00000146670
ENSG00000013810,-3.97550131568618,ENSG00000013810
ENSG00000169679,-4.14075112273585,ENSG00000169679
ENSG00000112984,-4.41669981540314,ENSG00000112984
ENSG00000126787,-4.30034461868208,ENSG00000126787
ENSG00000135476,-4.51868256677118,ENSG00000135476
ENSG00000121152,-4.28922307110138,ENSG00000121152
ENSG00000024526,-4.51411994329294,ENSG00000024526
ENSG00000164104,-3.49356652886896,ENSG00000164104
ENSG00000134690,-4.04838699181949,ENSG00000134690
ENSG00000138778,-3.88688156143676,ENSG00000138778
ENSG00000138180,-3.80317756437866,ENSG00000138180
ENSG00000109805,-4.19947264015301,ENSG00000109805
ENSG00000066279,-4.38352889632911,ENSG00000066279
ENSG00000142945,-4.12726273368511,ENSG00000142945
ENSG00000167513,-3.5245217766344,ENSG00000167513
ENSG00000131153,-3.6845752785839,ENSG00000131153
ENSG00000090889,-4.21362658980573,ENSG00000090889
ENSG00000198901,-3.07340059033461,ENSG00000198901
ENSG00000080986,-5.43151151404553,ENSG00000080986
ENSG00000172667,3.23531684982764,ENSG00000172667
ENSG00000131747,-3.25116544334734,ENSG00000131747
ENSG00000237649,-3.32905598333871,ENSG00000237649
ENSG00000148180,2.88186106967541,ENSG00000148180
ENSG00000138160,-3.31000484825756,ENSG00000138160
ENSG00000076382,-3.46113311017414,ENSG00000076382
ENSG00000101057,-3.14090417879315,ENSG00000101057
ENSG00000122966,-3.64987790128331,ENSG00000122966
ENSG00000183856,-3.85115390634351,ENSG00000183856
ENSG00000170312,-3.35810599954533,ENSG00000170312
ENSG00000101412,-3.52201260744171,ENSG00000101412
ENSG00000075218,-4.66540561997282,ENSG00000075218
ENSG00000134057,-2.77885294297026,ENSG00000134057
ENSG00000088325,-2.72037145016898,ENSG00000088325
ENSG00000161800,-2.84744536177416,ENSG00000161800
ENSG00000117724,-4.07663614021467,ENSG00000117724
ENSG00000159388,2.88253671697189,ENSG00000159388
ENSG00000071539,-3.41580421703824,ENSG00000071539
ENSG00000137807,-3.05963406740942,ENSG00000137807
ENSG00000175063,-3.81069747831734,ENSG00000175063
ENSG00000178947,4.66577828987905,ENSG00000178947
ENSG00000011426,-3.33542516201383,ENSG00000011426
ENSG00000165480,-3.7744018092485,ENSG00000165480
ENSG00000171241,-3.6959068984512,ENSG00000171241
ENSG00000163808,-4.88822581160754,ENSG00000163808
ENSG00000135451,-3.56158017990503,ENSG00000135451
ENSG00000164611,-3.30747185783333,ENSG00000164611
ENSG00000073111,-3.32251756713376,ENSG00000073111
ENSG00000206075,5.50757829699898,ENSG00000206075
ENSG00000168496,-2.88098016105135,ENSG00000168496
ENSG00000065328,-4.08093582077896,ENSG00000065328
ENSG00000136378,5.65281062283873,ENSG00000136378
ENSG00000087586,-2.68429292416935,ENSG00000087586
ENSG00000166508,-2.63714450049929,ENSG00000166508
ENSG00000112742,-3.63109576180598,ENSG00000112742
ENSG00000126878,-2.7620287560629,ENSG00000126878
ENSG00000068489,-3.00706581118685,ENSG00000068489
ENSG00000157456,-3.07206330124201,ENSG00000157456
ENSG00000137975,4.4657875746573,ENSG00000137975
ENSG00000100297,-2.77743115842444,ENSG00000100297
ENSG00000101447,-2.8264900585426,ENSG00000101447
ENSG00000119403,-2.90364652555161,ENSG00000119403
ENSG00000077152,-3.00125557596641,ENSG00000077152
ENSG00000146918,-2.92299877150147,ENSG00000146918
ENSG00000156802,-2.8904284658901,ENSG00000156802
ENSG00000137804,-3.22347022715185,ENSG00000137804
ENSG00000137812,-3.26866991370184,ENSG00000137812
ENSG00000140525,-2.66956973722169,ENSG00000140525
ENSG00000093009,-3.43806004923521,ENSG00000093009
ENSG00000276043,-3.59417268673291,ENSG00000276043
ENSG00000109674,-6.18616919952902,ENSG00000109674
ENSG00000163071,3.05687036584867,ENSG00000163071
ENSG00000162073,-2.75024648717536,ENSG00000162073
ENSG00000135679,3.06450034618511,ENSG00000135679
ENSG00000165244,-3.93599929489779,ENSG00000165244
ENSG00000140451,-5.56004076973217,ENSG00000140451
ENSG00000168078,-3.4518378473277,ENSG00000168078
ENSG00000167900,-2.7586201188381,ENSG00000167900
ENSG00000156970,-3.49121220830934,ENSG00000156970
ENSG00000186416,-3.85479651507045,ENSG00000186416
ENSG00000162063,-2.56046316893258,ENSG00000162063
ENSG00000165304,-2.98396232487243,ENSG00000165304
ENSG00000178999,-3.83223255020147,ENSG00000178999
ENSG00000163535,-3.13182231378617,ENSG00000163535
ENSG00000130513,4.34040476800052,ENSG00000130513
ENSG00000163507,-3.21626702278453,ENSG00000163507
ENSG00000230836,3.87152593969481,ENSG00000230836
ENSG00000196584,-3.92301352979233,ENSG00000196584
ENSG00000111665,-3.60768847187176,ENSG00000111665
ENSG00000189057,-4.20395603602444,ENSG00000189057
ENSG00000143228,-4.04131382136651,ENSG00000143228
ENSG00000137310,-3.624170079876,ENSG00000137310
ENSG00000123384,2.88777991367185,ENSG00000123384
ENSG00000075702,-2.93110136283798,ENSG00000075702
ENSG00000148773,-3.2489167076648,ENSG00000148773
ENSG00000143476,-3.90503010325137,ENSG00000143476
ENSG00000184661,-2.93585370646212,ENSG00000184661
ENSG00000186185,-4.44876071906297,ENSG00000186185
ENSG00000120539,-2.71587635466514,ENSG00000120539
ENSG00000123473,-2.68230245901133,ENSG00000123473
ENSG00000140534,-3.61904400748184,ENSG00000140534
ENSG00000160949,-2.626336113789,ENSG00000160949
ENSG00000165490,-3.53544033301914,ENSG00000165490
ENSG00000151503,-2.51406527937657,ENSG00000151503
ENSG00000105011,-3.11171361331111,ENSG00000105011
ENSG00000184445,-2.50622913607929,ENSG00000184445
ENSG00000124343,3.66727502048435,ENSG00000124343
ENSG00000102384,-4.03927024551496,ENSG00000102384
ENSG00000260799,-7.27419627804602,ENSG00000260799
ENSG00000164109,-3.32593928816508,ENSG00000164109
ENSG00000262660,-10.3197052375612,ENSG00000262660
ENSG00000133119,-2.52750561305212,ENSG00000133119
ENSG00000113368,-2.4430543897472,ENSG00000113368
ENSG00000124067,2.78261210887395,ENSG00000124067
ENSG00000123485,-3.51028881773591,ENSG00000123485
ENSG00000128951,-2.56677318909647,ENSG00000128951
ENSG00000248429,4.19157748714333,ENSG00000248429
ENSG00000138271,4.8548919549591,ENSG00000138271
ENSG00000186871,-3.890282734938,ENSG00000186871
ENSG00000149503,-2.55750003950907,ENSG00000149503
ENSG00000127564,-2.68785954739675,ENSG00000127564
ENSG00000080546,2.41903522552577,ENSG00000080546
ENSG00000168209,2.14144549342685,ENSG00000168209
ENSG00000010292,-2.15008398878864,ENSG00000010292
ENSG00000151725,-3.20420943990398,ENSG00000151725
ENSG00000138182,-2.45732015481726,ENSG00000138182
ENSG00000174371,-4.12639969315466,ENSG00000174371
ENSG00000129810,-3.66707007944527,ENSG00000129810
ENSG00000188486,-2.24802081755836,ENSG00000188486
ENSG00000113810,-2.16551483693888,ENSG00000113810
ENSG00000120802,-2.11532340226481,ENSG00000120802
ENSG00000197299,-4.18070753952475,ENSG00000197299
ENSG00000115129,3.5552103533175,ENSG00000115129
ENSG00000215784,-3.69082660887701,ENSG00000215784
ENSG00000228716,-2.2330491742529,ENSG00000228716
ENSG00000117650,-3.63449440667193,ENSG00000117650
ENSG00000169607,-4.15104075287184,ENSG00000169607
ENSG00000136982,-3.12548305785178,ENSG00000136982
ENSG00000142731,-3.11530811971759,ENSG00000142731
ENSG00000152253,-4.24709420635102,ENSG00000152253
ENSG00000101003,-2.44030920394819,ENSG00000101003
ENSG00000138131,4.73604525290051,ENSG00000138131
ENSG00000094804,-3.29005336239581,ENSG00000094804
ENSG00000213977,2.25094307963851,ENSG00000213977
ENSG00000168918,8.07472346695284,ENSG00000168918
ENSG00000172575,2.85393569472751,ENSG00000172575
ENSG00000161888,-3.14940948316317,ENSG00000161888
ENSG00000048392,2.08905904600407,ENSG00000048392
ENSG00000186526,4.34759890562897,ENSG00000186526
ENSG00000187741,-2.45749689875333,ENSG00000187741
ENSG00000139618,-3.35083962804799,ENSG00000139618
ENSG00000121621,-3.36319522524377,ENSG00000121621
ENSG00000076003,-2.0192465059744,ENSG00000076003
ENSG00000263513,-3.6324526547687,ENSG00000263513
ENSG00000136824,-2.5921513519062,ENSG00000136824
ENSG00000117632,-2.79721065962033,ENSG00000117632
ENSG00000136492,-2.2767614317995,ENSG00000136492
ENSG00000100100,3.56479558158125,ENSG00000100100
ENSG00000055163,2.0933786364582,ENSG00000055163
ENSG00000231007,-4.14219573244235,ENSG00000231007
ENSG00000007968,-3.26666047591967,ENSG00000007968
ENSG00000161513,2.22462984844393,ENSG00000161513
