logFC,ensid
ENSG00000007968,-1.279067492,ENSG00000007968
ENSG00000224116,5.793103356,ENSG00000224116
ENSG00000077684,-0.966706168,ENSG00000077684
ENSG00000177788,-5.695752808,ENSG00000177788
ENSG00000137975,2.308389566,ENSG00000137975
ENSG00000138722,-2.785030373,ENSG00000138722
ENSG00000183597,-1.07492545,ENSG00000183597
ENSG00000278217,7.050743477,ENSG00000278217
ENSG00000198625,1.737733796,ENSG00000198625
ENSG00000108219,-0.770335446,ENSG00000108219
ENSG00000165244,-0.8469341,ENSG00000165244
ENSG00000186260,-1.528303519,ENSG00000186260
ENSG00000185641,0.92382097,ENSG00000185641
ENSG00000115641,0.667636458,ENSG00000115641
ENSG00000109321,1.906246203,ENSG00000109321
ENSG00000151065,0.835246748,ENSG00000151065
ENSG00000167196,0.86820846,ENSG00000167196
ENSG00000260777,2.132740935,ENSG00000260777
ENSG00000237512,5.627461312,ENSG00000237512
ENSG00000261371,-2.643110755,ENSG00000261371
ENSG00000112029,-0.684702087,ENSG00000112029
ENSG00000126653,1.928564226,ENSG00000126653
ENSG00000260772,-3.341503107,ENSG00000260772
ENSG00000144354,-1.1014037,ENSG00000144354
ENSG00000132517,5.564589478,ENSG00000132517
ENSG00000271538,5.548685471,ENSG00000271538
ENSG00000132646,0.640745236,ENSG00000132646
ENSG00000105778,1.163896064,ENSG00000105778
ENSG00000129173,-0.882412362,ENSG00000129173
ENSG00000184281,-1.192546025,ENSG00000184281
ENSG00000196152,0.921118741,ENSG00000196152
ENSG00000119669,0.636990815,ENSG00000119669
ENSG00000150076,5.610919191,ENSG00000150076
ENSG00000250337,5.49183731,ENSG00000250337
ENSG00000072134,0.894403577,ENSG00000072134
ENSG00000157168,0.648498087,ENSG00000157168
ENSG00000133640,2.91648447,ENSG00000133640
ENSG00000128917,1.727920575,ENSG00000128917
ENSG00000118900,-0.8172323,ENSG00000118900
ENSG00000164283,1.11287445,ENSG00000164283
ENSG00000228192,-5.510263699,ENSG00000228192
ENSG00000259230,5.476676682,ENSG00000259230
ENSG00000136603,-0.727067238,ENSG00000136603
ENSG00000167513,-0.751648538,ENSG00000167513
ENSG00000196497,-0.753537039,ENSG00000196497
ENSG00000072864,0.857600676,ENSG00000072864
ENSG00000076641,0.795589142,ENSG00000076641
ENSG00000234857,-3.011572075,ENSG00000234857
ENSG00000170734,0.628201744,ENSG00000170734
ENSG00000155366,0.770120684,ENSG00000155366
ENSG00000138764,0.699455808,ENSG00000138764
ENSG00000240891,3.787453269,ENSG00000240891
ENSG00000185112,0.75708147,ENSG00000185112
ENSG00000164171,1.264344002,ENSG00000164171
ENSG00000092470,-0.722450325,ENSG00000092470
ENSG00000164045,-0.842263222,ENSG00000164045
ENSG00000262888,5.603415522,ENSG00000262888
ENSG00000122861,0.604778202,ENSG00000122861
ENSG00000150779,-0.955926174,ENSG00000150779
ENSG00000165915,-0.938327706,ENSG00000165915
ENSG00000179588,0.922300281,ENSG00000179588
ENSG00000165891,0.575482808,ENSG00000165891
ENSG00000094804,-0.637424588,ENSG00000094804
ENSG00000282031,2.914694987,ENSG00000282031
ENSG00000256980,-2.825311813,ENSG00000256980
ENSG00000085644,1.09845435,ENSG00000085644
ENSG00000121039,0.742020386,ENSG00000121039
ENSG00000251396,5.303914482,ENSG00000251396
ENSG00000105650,5.297104776,ENSG00000105650
ENSG00000234998,-5.319791965,ENSG00000234998
ENSG00000231952,1.265201759,ENSG00000231952
ENSG00000082497,-0.8932827,ENSG00000082497
ENSG00000112697,0.663219108,ENSG00000112697
ENSG00000085840,-0.772522771,ENSG00000085840
ENSG00000186529,5.419719799,ENSG00000186529
ENSG00000168564,1.852575332,ENSG00000168564
ENSG00000164124,1.298309328,ENSG00000164124
ENSG00000176912,1.328255487,ENSG00000176912
ENSG00000197461,1.063139087,ENSG00000197461
ENSG00000083168,1.041265091,ENSG00000083168
ENSG00000227082,5.211087519,ENSG00000227082
ENSG00000249279,3.289590306,ENSG00000249279
ENSG00000237101,-5.229069862,ENSG00000237101
ENSG00000070882,0.555769391,ENSG00000070882
ENSG00000226124,5.28905778,ENSG00000226124
ENSG00000139133,1.41009359,ENSG00000139133
ENSG00000104442,0.899853398,ENSG00000104442
ENSG00000136688,5.295784163,ENSG00000136688
ENSG00000204072,-1.305554112,ENSG00000204072
ENSG00000166004,-0.777016114,ENSG00000166004
ENSG00000164331,0.747785436,ENSG00000164331
ENSG00000106025,-5.232417947,ENSG00000106025
ENSG00000158467,-1.343108189,ENSG00000158467
ENSG00000089505,-1.962069657,ENSG00000089505
ENSG00000157680,-1.208522404,ENSG00000157680
ENSG00000186185,-0.577759289,ENSG00000186185
ENSG00000266306,3.298945607,ENSG00000266306
ENSG00000151967,2.160806572,ENSG00000151967
ENSG00000173110,1.7779389,ENSG00000173110
ENSG00000259429,-1.636626946,ENSG00000259429
ENSG00000117016,2.880247669,ENSG00000117016
ENSG00000134690,-0.545926195,ENSG00000134690
ENSG00000050555,-5.206796035,ENSG00000050555
ENSG00000182224,-1.976813576,ENSG00000182224
ENSG00000247324,5.199374033,ENSG00000247324
ENSG00000128886,1.314510015,ENSG00000128886
ENSG00000125962,-1.153775358,ENSG00000125962
ENSG00000189367,-1.239561399,ENSG00000189367
ENSG00000234694,-5.215219741,ENSG00000234694
ENSG00000108932,1.235453853,ENSG00000108932
ENSG00000242125,-0.989028381,ENSG00000242125
ENSG00000169297,5.202667425,ENSG00000169297
ENSG00000140090,5.202667056,ENSG00000140090
ENSG00000178184,0.916592313,ENSG00000178184
ENSG00000103064,-1.358929364,ENSG00000103064
ENSG00000125740,1.524090394,ENSG00000125740
ENSG00000188818,2.606583391,ENSG00000188818
ENSG00000258636,-2.378220033,ENSG00000258636
