logFC,ensid
ENSG00000101057,-6.8085114698988,ENSG00000101057
ENSG00000121152,-14.0409816767874,ENSG00000121152
ENSG00000135451,-6.79040252063173,ENSG00000135451
ENSG00000075218,-14.008754100892,ENSG00000075218
ENSG00000171848,-6.02970933628508,ENSG00000171848
ENSG00000013810,-6.17046925842946,ENSG00000013810
ENSG00000111206,-4.95887380823251,ENSG00000111206
ENSG00000127564,-5.55450809777734,ENSG00000127564
ENSG00000101412,-4.92158123564141,ENSG00000101412
ENSG00000178999,-6.07404710315761,ENSG00000178999
ENSG00000134690,-4.92635559959671,ENSG00000134690
ENSG00000093009,-9.83048869761024,ENSG00000093009
ENSG00000112984,-9.36853022833983,ENSG00000112984
ENSG00000117399,-6.43519599662052,ENSG00000117399
ENSG00000089685,-5.7765154288613,ENSG00000089685
ENSG00000167900,-6.10198450737192,ENSG00000167900
ENSG00000126787,-12.9258308668622,ENSG00000126787
ENSG00000073111,-3.73710613064044,ENSG00000073111
ENSG00000161888,-6.36609958404886,ENSG00000161888
ENSG00000129195,-9.47041061829805,ENSG00000129195
ENSG00000130513,3.94396839639826,ENSG00000130513
ENSG00000183856,-8.9168810907524,ENSG00000183856
ENSG00000276043,-5.07432909860057,ENSG00000276043
ENSG00000137310,-5.37009295448068,ENSG00000137310
ENSG00000119403,-4.08005823948023,ENSG00000119403
ENSG00000166508,-3.2719920045547,ENSG00000166508
ENSG00000135476,-9.19949172047543,ENSG00000135476
ENSG00000198901,-5.72680571764032,ENSG00000198901
ENSG00000140451,-12.7972664257746,ENSG00000140451
ENSG00000146670,-4.90525102625858,ENSG00000146670
ENSG00000186185,-7.69336872968677,ENSG00000186185
ENSG00000068489,-7.32917819284122,ENSG00000068489
ENSG00000140534,-7.32363991815619,ENSG00000140534
ENSG00000167513,-3.87219204431766,ENSG00000167513
ENSG00000076382,-4.69464410200314,ENSG00000076382
ENSG00000100162,-5.92188820535681,ENSG00000100162
ENSG00000145386,-8.48114559718284,ENSG00000145386
ENSG00000142945,-8.53506701120808,ENSG00000142945
ENSG00000164104,-4.59700733115811,ENSG00000164104
ENSG00000014138,-3.60462039497711,ENSG00000014138
ENSG00000169679,-7.37722322299425,ENSG00000169679
ENSG00000131153,-4.04428983297282,ENSG00000131153
ENSG00000122966,-7.21983186098472,ENSG00000122966
ENSG00000085840,-8.55503343036705,ENSG00000085840
ENSG00000006047,-3.4132869191099,ENSG00000006047
ENSG00000101447,-4.88770023751588,ENSG00000101447
ENSG00000134057,-3.26608538761673,ENSG00000134057
ENSG00000166851,-7.29429621930181,ENSG00000166851
ENSG00000122952,-3.37573587060847,ENSG00000122952
ENSG00000168496,-2.95060981333303,ENSG00000168496
ENSG00000105011,-4.32194283281347,ENSG00000105011
ENSG00000149503,-2.96521272993302,ENSG00000149503
ENSG00000010292,-2.80758254296,ENSG00000010292
ENSG00000113368,-3.61492495509402,ENSG00000113368
ENSG00000075702,-2.91642741389448,ENSG00000075702
ENSG00000175063,-7.22991485625669,ENSG00000175063
ENSG00000112118,-2.75967388562646,ENSG00000112118
ENSG00000065328,-8.0841744147624,ENSG00000065328
ENSG00000237649,-8.58764221671033,ENSG00000237649
