logFC,ensid
ENSG00000143476,-1.35093276398621,ENSG00000143476
ENSG00000134574,1.61739651410414,ENSG00000134574
ENSG00000137216,1.34187188274687,ENSG00000137216
ENSG00000197993,7.44742996124108,ENSG00000197993
ENSG00000116299,2.12231740242916,ENSG00000116299
ENSG00000154767,1.24683337584332,ENSG00000154767
ENSG00000092470,-1.61765534812815,ENSG00000092470
ENSG00000221986,2.37554666088786,ENSG00000221986
ENSG00000080546,1.79625744497407,ENSG00000080546
ENSG00000162738,2.06093482215849,ENSG00000162738
ENSG00000087088,1.29387992554464,ENSG00000087088
ENSG00000101412,-1.87923314778213,ENSG00000101412
ENSG00000276043,-1.75032028681522,ENSG00000276043
ENSG00000186529,2.53670695826849,ENSG00000186529
ENSG00000196562,1.32635119768881,ENSG00000196562
ENSG00000167992,3.46956997504335,ENSG00000167992
ENSG00000135218,4.53583338697385,ENSG00000135218
ENSG00000178363,3.73773519956504,ENSG00000178363
ENSG00000130766,1.25217936782565,ENSG00000130766
ENSG00000181026,1.24827945307228,ENSG00000181026
ENSG00000173156,1.16962688730065,ENSG00000173156
ENSG00000010030,2.75899206852453,ENSG00000010030
ENSG00000069812,1.80703680709445,ENSG00000069812
ENSG00000184985,7.27205836513848,ENSG00000184985
ENSG00000125046,3.90099661122469,ENSG00000125046
ENSG00000198673,2.49837174472962,ENSG00000198673
ENSG00000145386,-1.16266346234298,ENSG00000145386
ENSG00000204993,3.68744226581795,ENSG00000204993
ENSG00000186517,3.17942463562091,ENSG00000186517
ENSG00000167196,1.24899052381721,ENSG00000167196
ENSG00000173535,2.48061912886823,ENSG00000173535
ENSG00000137807,-1.15854350250124,ENSG00000137807
ENSG00000125538,1.16499517370354,ENSG00000125538
ENSG00000276023,1.3113128435678,ENSG00000276023
ENSG00000104738,-1.09061182777447,ENSG00000104738
ENSG00000274238,3.13422217158439,ENSG00000274238
ENSG00000170381,4.6714328527055,ENSG00000170381
ENSG00000279965,3.57573990940256,ENSG00000279965
ENSG00000123485,-1.32112347238883,ENSG00000123485
ENSG00000170324,3.61153004117028,ENSG00000170324
ENSG00000182541,1.17122212058997,ENSG00000182541
ENSG00000197084,3.72182701354742,ENSG00000197084
ENSG00000116016,-1.05145754823761,ENSG00000116016
ENSG00000176046,1.44758432570383,ENSG00000176046
ENSG00000130635,4.67886772547531,ENSG00000130635
ENSG00000163071,1.34016520499054,ENSG00000163071
ENSG00000065328,-1.37607923382303,ENSG00000065328
ENSG00000165799,1.93645991367966,ENSG00000165799
ENSG00000222009,2.298741472495,ENSG00000222009
ENSG00000105173,-1.48399334506856,ENSG00000105173
ENSG00000168427,2.78271366556918,ENSG00000168427
ENSG00000138160,-1.03045589034101,ENSG00000138160
ENSG00000149480,1.04271440959367,ENSG00000149480
ENSG00000112118,-1.05215896972394,ENSG00000112118
ENSG00000258602,2.62334711274382,ENSG00000258602
ENSG00000117724,-1.0057141648958,ENSG00000117724
ENSG00000115129,1.28841611601999,ENSG00000115129
ENSG00000136378,1.93755927340883,ENSG00000136378
ENSG00000076003,-1.06517464317743,ENSG00000076003
ENSG00000116962,6.94775184169642,ENSG00000116962
ENSG00000265702,4.37950896566926,ENSG00000265702
ENSG00000184661,-1.11193200598214,ENSG00000184661
ENSG00000196152,1.74575395951073,ENSG00000196152
ENSG00000280027,1.9925896411867,ENSG00000280027
ENSG00000170385,0.998563260784323,ENSG00000170385
ENSG00000170827,2.77962542767586,ENSG00000170827
ENSG00000179588,1.8704421245782,ENSG00000179588
ENSG00000245025,2.07534511817843,ENSG00000245025
ENSG00000166866,3.79686107464221,ENSG00000166866
ENSG00000213398,1.81432979330045,ENSG00000213398
ENSG00000158055,1.65835972323711,ENSG00000158055
ENSG00000166483,-1.27507731931761,ENSG00000166483
ENSG00000134597,-1.45235206820639,ENSG00000134597
ENSG00000125657,1.2561283245937,ENSG00000125657
ENSG00000059728,-2.59332009874706,ENSG00000059728
ENSG00000185634,2.25036434849358,ENSG00000185634
ENSG00000197093,2.482786569302,ENSG00000197093
ENSG00000166750,1.00360401419528,ENSG00000166750
ENSG00000106366,1.01927893831206,ENSG00000106366
ENSG00000279208,2.97986832630089,ENSG00000279208
ENSG00000116062,-1.16251185481405,ENSG00000116062
ENSG00000234546,1.94462633024121,ENSG00000234546
ENSG00000129173,-1.61214298430867,ENSG00000129173
ENSG00000087586,-0.959427714230308,ENSG00000087586
ENSG00000237489,4.14593347402506,ENSG00000237489
ENSG00000105655,1.72721415943215,ENSG00000105655
ENSG00000144785,2.73067518406256,ENSG00000144785
ENSG00000145632,1.22331993489487,ENSG00000145632
ENSG00000181104,1.49752261150057,ENSG00000181104
ENSG00000079385,1.61527673978279,ENSG00000079385
ENSG00000008853,-1.19809515289186,ENSG00000008853
ENSG00000108381,2.62737024921761,ENSG00000108381
ENSG00000162607,-0.989587009428755,ENSG00000162607
ENSG00000090512,3.65163349082136,ENSG00000090512
ENSG00000167656,2.16217314177765,ENSG00000167656
ENSG00000137500,1.00748958335074,ENSG00000137500
ENSG00000165323,6.71524103202208,ENSG00000165323
ENSG00000100647,1.01654471091889,ENSG00000100647
ENSG00000170836,1.18221136703517,ENSG00000170836
ENSG00000162063,-1.11638022350086,ENSG00000162063
ENSG00000179046,1.61651658553493,ENSG00000179046
ENSG00000167904,1.12342593735715,ENSG00000167904
ENSG00000088325,-0.932633815782299,ENSG00000088325
ENSG00000237649,-1.14938170012822,ENSG00000237649
ENSG00000174514,1.82857286486765,ENSG00000174514
ENSG00000162433,1.18623817880406,ENSG00000162433
ENSG00000224525,2.12449153873921,ENSG00000224525
ENSG00000163535,-1.09206738634585,ENSG00000163535
ENSG00000228951,3.93399095830763,ENSG00000228951
ENSG00000270605,1.91750792506624,ENSG00000270605
ENSG00000136048,2.20829926994942,ENSG00000136048
ENSG00000186193,-1.20794068726615,ENSG00000186193
ENSG00000103522,2.47312228387863,ENSG00000103522
ENSG00000174307,1.52968363287823,ENSG00000174307
ENSG00000124067,1.09743601609731,ENSG00000124067
ENSG00000112742,-1.041030680823,ENSG00000112742
ENSG00000172890,1.00787642028725,ENSG00000172890
ENSG00000276542,2.39271552054658,ENSG00000276542
ENSG00000261150,1.29615150337242,ENSG00000261150
ENSG00000066279,-0.939614388673852,ENSG00000066279
ENSG00000150637,1.92909633499729,ENSG00000150637
ENSG00000138778,-0.92649605013153,ENSG00000138778
ENSG00000279741,2.05400004463292,ENSG00000279741
ENSG00000237705,6.63602017304465,ENSG00000237705
ENSG00000266680,1.69318484303741,ENSG00000266680
ENSG00000106829,1.27757213251866,ENSG00000106829
ENSG00000142627,0.880552047769664,ENSG00000142627
ENSG00000204389,-0.911589477268204,ENSG00000204389
ENSG00000144045,1.71269004187803,ENSG00000144045
ENSG00000164070,1.01353795970253,ENSG00000164070
ENSG00000180447,-2.05622714154362,ENSG00000180447
ENSG00000137968,0.960984673276888,ENSG00000137968
ENSG00000151881,2.34136129457418,ENSG00000151881
ENSG00000167670,-1.03583035687019,ENSG00000167670
ENSG00000105327,1.88907683789889,ENSG00000105327
ENSG00000233901,1.41256068630105,ENSG00000233901
ENSG00000109805,-0.958427729683954,ENSG00000109805
ENSG00000142945,-0.918175369370598,ENSG00000142945
ENSG00000153029,1.18677143527156,ENSG00000153029
ENSG00000101745,-1.16914285439952,ENSG00000101745
ENSG00000147183,4.06497645216189,ENSG00000147183
ENSG00000232070,2.18005581560229,ENSG00000232070
ENSG00000249859,1.22605137664753,ENSG00000249859
ENSG00000130940,1.20136446991815,ENSG00000130940
ENSG00000205978,2.27478131886947,ENSG00000205978
ENSG00000080986,-1.09645487777947,ENSG00000080986
ENSG00000196220,1.23798015817761,ENSG00000196220
ENSG00000013810,-0.951189409222612,ENSG00000013810
ENSG00000149503,-0.941615606937411,ENSG00000149503
ENSG00000169679,-0.915501151377877,ENSG00000169679
ENSG00000273204,2.36858567709487,ENSG00000273204
ENSG00000228528,4.18724054813177,ENSG00000228528
ENSG00000154040,1.54795168842626,ENSG00000154040
ENSG00000136003,1.12585576377551,ENSG00000136003
ENSG00000254415,6.49843291651634,ENSG00000254415
ENSG00000166851,-0.987396648778039,ENSG00000166851
ENSG00000197083,4.16745957967521,ENSG00000197083
ENSG00000094804,-0.947694149542793,ENSG00000094804
ENSG00000023839,1.00585637980038,ENSG00000023839
ENSG00000107796,1.19161092295324,ENSG00000107796
ENSG00000171469,1.8755327834078,ENSG00000171469
ENSG00000136928,6.44575415422656,ENSG00000136928
ENSG00000243978,6.44124647653673,ENSG00000243978
ENSG00000011426,-0.872208632326985,ENSG00000011426
ENSG00000182795,0.914710231705224,ENSG00000182795
ENSG00000246090,2.00840830609529,ENSG00000246090
ENSG00000186635,0.86275337565379,ENSG00000186635
ENSG00000111725,1.18448205212254,ENSG00000111725
ENSG00000138443,1.52086967987686,ENSG00000138443
ENSG00000256663,-1.52404387249915,ENSG00000256663
ENSG00000179477,6.75114980159923,ENSG00000179477
ENSG00000139219,2.76512998153818,ENSG00000139219
ENSG00000175600,1.45959435373535,ENSG00000175600
ENSG00000178409,-1.25352247414403,ENSG00000178409
ENSG00000156970,-0.918446899361627,ENSG00000156970
ENSG00000169403,1.11951248971117,ENSG00000169403
ENSG00000169607,-1.10829831755492,ENSG00000169607
ENSG00000064115,0.904175859374736,ENSG00000064115
ENSG00000165891,0.890778924606147,ENSG00000165891
ENSG00000197872,1.90950053984268,ENSG00000197872
ENSG00000002079,2.85047594111298,ENSG00000002079
ENSG00000166289,1.51233099886352,ENSG00000166289
ENSG00000239521,1.67359969095194,ENSG00000239521
ENSG00000232692,2.91474350766996,ENSG00000232692
ENSG00000198854,3.34525253722671,ENSG00000198854
ENSG00000231666,2.1747218015895,ENSG00000231666
ENSG00000057657,1.25921526079439,ENSG00000057657
ENSG00000075218,-1.0369771397043,ENSG00000075218
ENSG00000095397,1.54020282684786,ENSG00000095397
ENSG00000270685,3.34415279451588,ENSG00000270685
ENSG00000125954,3.89877860320157,ENSG00000125954
ENSG00000183943,0.844521576910422,ENSG00000183943
ENSG00000184371,1.13662852615948,ENSG00000184371
ENSG00000198133,2.35230719482734,ENSG00000198133
ENSG00000139926,1.01933805977545,ENSG00000139926
ENSG00000182372,0.976350965905887,ENSG00000182372
ENSG00000277639,1.93853316597384,ENSG00000277639
ENSG00000109670,1.3157563392989,ENSG00000109670
ENSG00000156802,-0.847806002541076,ENSG00000156802
ENSG00000131791,0.872609703433354,ENSG00000131791
ENSG00000117399,-0.848897873468473,ENSG00000117399
ENSG00000248583,3.28497067216597,ENSG00000248583
ENSG00000187944,2.22001451805943,ENSG00000187944
ENSG00000253878,2.71809413114164,ENSG00000253878
ENSG00000265787,2.73991974535708,ENSG00000265787
ENSG00000128165,1.16417711667725,ENSG00000128165
ENSG00000079432,0.85768510882611,ENSG00000079432
ENSG00000198826,-1.41518300363186,ENSG00000198826
ENSG00000172831,1.03595342576976,ENSG00000172831
ENSG00000182366,2.74861770713028,ENSG00000182366
ENSG00000148219,2.5452006510049,ENSG00000148219
ENSG00000136114,1.01817302288489,ENSG00000136114
ENSG00000177943,1.72832657872313,ENSG00000177943
ENSG00000244607,2.42688805252808,ENSG00000244607
ENSG00000146411,1.78407788072553,ENSG00000146411
ENSG00000119121,2.06664337246246,ENSG00000119121
ENSG00000117318,0.959578737738478,ENSG00000117318
ENSG00000049130,1.70696113286588,ENSG00000049130
ENSG00000090061,0.869210195623684,ENSG00000090061
ENSG00000163808,-1.01007843380471,ENSG00000163808
ENSG00000134690,-0.977648591802745,ENSG00000134690
ENSG00000179869,3.32781146780435,ENSG00000179869
ENSG00000178184,1.22484838450425,ENSG00000178184
ENSG00000088726,1.34521053891901,ENSG00000088726
ENSG00000169118,1.12407859869206,ENSG00000169118
ENSG00000162105,6.17929581575221,ENSG00000162105
ENSG00000205336,1.32811902893023,ENSG00000205336
ENSG00000175105,1.0227212364601,ENSG00000175105
ENSG00000184319,1.25549737992508,ENSG00000184319
ENSG00000112984,-0.846283951641562,ENSG00000112984
ENSG00000168496,-0.890475697495874,ENSG00000168496
ENSG00000141503,0.824976141936986,ENSG00000141503
ENSG00000168394,0.837848851655743,ENSG00000168394
ENSG00000106689,-2.07969268630231,ENSG00000106689
ENSG00000169258,-1.19324834348603,ENSG00000169258
ENSG00000205208,-1.03734458340541,ENSG00000205208
ENSG00000225720,2.68427941082548,ENSG00000225720
ENSG00000185088,1.07025158785071,ENSG00000185088
ENSG00000165804,0.940663131307126,ENSG00000165804
ENSG00000076248,-1.02101511864003,ENSG00000076248
ENSG00000215458,1.97732766554577,ENSG00000215458
ENSG00000162461,2.39286964410754,ENSG00000162461
ENSG00000165029,1.23372767688549,ENSG00000165029
ENSG00000237886,2.54179082368704,ENSG00000237886
ENSG00000082497,-2.08405236236336,ENSG00000082497
ENSG00000109674,-1.16742367450367,ENSG00000109674
ENSG00000135778,0.817123889640027,ENSG00000135778
ENSG00000179066,2.6700937357726,ENSG00000179066
ENSG00000254842,6.47310459993077,ENSG00000254842
ENSG00000152049,2.85553867123116,ENSG00000152049
ENSG00000266714,6.27831726658675,ENSG00000266714
ENSG00000204103,-0.905288102292586,ENSG00000204103
ENSG00000277196,1.60759238709922,ENSG00000277196
ENSG00000073111,-0.91511462872536,ENSG00000073111
ENSG00000227268,1.5686477880833,ENSG00000227268
ENSG00000134057,-0.794088414941827,ENSG00000134057
ENSG00000185669,6.11935990916439,ENSG00000185669
ENSG00000186871,-1.06158321071935,ENSG00000186871
ENSG00000244649,3.30447368702948,ENSG00000244649
ENSG00000120149,1.25240017622735,ENSG00000120149
ENSG00000164237,0.800143616045648,ENSG00000164237
ENSG00000197019,1.15195959591861,ENSG00000197019
ENSG00000156219,2.67482019925331,ENSG00000156219
ENSG00000164331,1.2157933109123,ENSG00000164331
ENSG00000160271,1.11305983102999,ENSG00000160271
ENSG00000091592,1.28995984872766,ENSG00000091592
ENSG00000140534,-1.02067523719967,ENSG00000140534
ENSG00000167513,-1.0107078094035,ENSG00000167513
ENSG00000071575,-0.969043855677322,ENSG00000071575
ENSG00000228314,2.23294447833167,ENSG00000228314
ENSG00000240891,2.04674282563943,ENSG00000240891
ENSG00000165474,-1.02135386999677,ENSG00000165474
