logFC,ensid
ENSG00000270181,15.5321527094815,ENSG00000270181
ENSG00000228526,8.00691227014744,ENSG00000228526
ENSG00000273333,8.11356616313682,ENSG00000273333
ENSG00000251259,-12.2367939976969,ENSG00000251259
ENSG00000258529,-12.293670473012,ENSG00000258529
ENSG00000265590,-11.2104765733911,ENSG00000265590
ENSG00000257524,4.70823508896726,ENSG00000257524
ENSG00000255185,4.46214616111753,ENSG00000255185
ENSG00000251537,5.6452443607727,ENSG00000251537
ENSG00000258677,9.65044058163672,ENSG00000258677
ENSG00000239306,2.09493730440197,ENSG00000239306
ENSG00000267426,-4.80329060213294,ENSG00000267426
ENSG00000198346,3.16547394631354,ENSG00000198346
ENSG00000280407,-3.7318983952908,ENSG00000280407
ENSG00000238942,6.13057012184231,ENSG00000238942
ENSG00000213443,3.49472626299405,ENSG00000213443
ENSG00000258628,-8.82062789713511,ENSG00000258628
ENSG00000117601,3.6714210410145,ENSG00000117601
ENSG00000186470,2.06995384296775,ENSG00000186470
ENSG00000153904,-1.9104436072238,ENSG00000153904
ENSG00000204519,2.8951051496808,ENSG00000204519
ENSG00000084093,-2.46232354240758,ENSG00000084093
ENSG00000124762,2.00895438537762,ENSG00000124762
ENSG00000272741,-8.74323229273382,ENSG00000272741
ENSG00000138778,-2.04617442009642,ENSG00000138778
ENSG00000270249,8.50123905821522,ENSG00000270249
ENSG00000130513,2.62504882267641,ENSG00000130513
ENSG00000280047,2.61801549995819,ENSG00000280047
ENSG00000166913,-1.51598270739471,ENSG00000166913
ENSG00000072274,-1.93459524137945,ENSG00000072274
ENSG00000261799,-2.57107564787325,ENSG00000261799
ENSG00000254995,-3.46856818324893,ENSG00000254995
ENSG00000137331,1.56384682956717,ENSG00000137331
ENSG00000186272,2.32047843342961,ENSG00000186272
ENSG00000081148,2.72330327181911,ENSG00000081148
ENSG00000092847,-1.63966494323396,ENSG00000092847
ENSG00000179219,7.91561481886281,ENSG00000179219
ENSG00000141068,1.87656724930926,ENSG00000141068
ENSG00000249962,4.49939103701004,ENSG00000249962
ENSG00000199744,-4.167027059823,ENSG00000199744
ENSG00000176076,2.85036161577801,ENSG00000176076
ENSG00000205795,-2.28465413937785,ENSG00000205795
ENSG00000254732,-3.99202797929958,ENSG00000254732
ENSG00000178199,2.77404900099976,ENSG00000178199
ENSG00000143217,3.77583705841858,ENSG00000143217
ENSG00000275184,-5.08203121070973,ENSG00000275184
ENSG00000267261,2.876636163824,ENSG00000267261
ENSG00000169122,-2.66572174493313,ENSG00000169122
ENSG00000026103,1.94360178999488,ENSG00000026103
ENSG00000138182,-1.58260387547117,ENSG00000138182
ENSG00000134897,-1.50277235338749,ENSG00000134897
ENSG00000225762,-3.31707404754195,ENSG00000225762
ENSG00000272657,-10.9651523567218,ENSG00000272657
ENSG00000145293,-1.50814034353957,ENSG00000145293
ENSG00000124215,7.68475197114267,ENSG00000124215
ENSG00000280061,-3.33912961786298,ENSG00000280061
ENSG00000120262,-7.84134280845269,ENSG00000120262
ENSG00000139354,-1.66223920546332,ENSG00000139354
ENSG00000087586,-1.49438549753797,ENSG00000087586
ENSG00000112984,-1.54241494402033,ENSG00000112984
ENSG00000140451,-1.84895402853133,ENSG00000140451
ENSG00000177854,-3.22096349425082,ENSG00000177854
ENSG00000199363,4.81666270072838,ENSG00000199363
ENSG00000179242,-1.75771014303672,ENSG00000179242
ENSG00000185238,-1.64873908267587,ENSG00000185238
ENSG00000118193,-1.44726356349295,ENSG00000118193
ENSG00000159792,-1.61202297681253,ENSG00000159792
ENSG00000266967,-2.02896255569289,ENSG00000266967
ENSG00000134899,-1.40479995809059,ENSG00000134899
ENSG00000118971,1.36183727486036,ENSG00000118971
ENSG00000234072,-2.87689640121707,ENSG00000234072
ENSG00000279801,3.71055853308928,ENSG00000279801
ENSG00000198860,-1.59016698916688,ENSG00000198860
ENSG00000258989,7.46372333743514,ENSG00000258989
ENSG00000121621,-1.53833285816561,ENSG00000121621
ENSG00000148411,-1.5719207067,ENSG00000148411
ENSG00000280287,2.22653059546092,ENSG00000280287
ENSG00000118307,7.73961092356265,ENSG00000118307
ENSG00000083720,-1.61589689370657,ENSG00000083720
ENSG00000186193,-1.5538965541275,ENSG00000186193
ENSG00000277639,2.36205549004267,ENSG00000277639
ENSG00000235529,2.75418868338847,ENSG00000235529
ENSG00000225401,3.92591339382787,ENSG00000225401
ENSG00000049239,-1.59953446514551,ENSG00000049239
ENSG00000278224,-3.18452146465734,ENSG00000278224
ENSG00000186517,7.35297210202929,ENSG00000186517
ENSG00000126787,-1.40042352198932,ENSG00000126787
ENSG00000254978,7.32012999644334,ENSG00000254978
ENSG00000165490,-1.62392372107561,ENSG00000165490
ENSG00000124226,-1.26884604145469,ENSG00000124226
ENSG00000122483,-1.47543812785016,ENSG00000122483
ENSG00000263874,-3.99903211397584,ENSG00000263874
ENSG00000205236,2.34740719653481,ENSG00000205236
ENSG00000119397,-1.39848904029445,ENSG00000119397
ENSG00000178878,-1.82322147369742,ENSG00000178878
ENSG00000134057,-1.32796633118158,ENSG00000134057
ENSG00000011426,-1.3203450686432,ENSG00000011426
ENSG00000214279,-4.63373384080772,ENSG00000214279
ENSG00000261324,-2.40187161552513,ENSG00000261324
ENSG00000156802,-1.22870799664797,ENSG00000156802
ENSG00000152256,-1.55733875822865,ENSG00000152256
ENSG00000069424,-2.58216190692402,ENSG00000069424
ENSG00000272508,-7.17328895374189,ENSG00000272508
ENSG00000222022,7.31181802826228,ENSG00000222022
ENSG00000140931,1.42070108094669,ENSG00000140931
ENSG00000239405,-3.45268222522321,ENSG00000239405
ENSG00000260992,-2.1644739423588,ENSG00000260992
ENSG00000173530,1.19545077696812,ENSG00000173530
ENSG00000157193,-1.24476538090239,ENSG00000157193
ENSG00000250899,-1.35352112470427,ENSG00000250899
ENSG00000129534,-1.34135797671064,ENSG00000129534
ENSG00000275322,2.69621738300861,ENSG00000275322
ENSG00000263335,-2.72091115920344,ENSG00000263335
ENSG00000055955,-3.0549276350878,ENSG00000055955
ENSG00000272896,4.70516803200273,ENSG00000272896
ENSG00000162814,7.27673414057301,ENSG00000162814
ENSG00000141622,-1.78151051895652,ENSG00000141622
ENSG00000171403,7.11525106404284,ENSG00000171403
ENSG00000214694,7.11023987284847,ENSG00000214694
ENSG00000114346,-1.20653563846254,ENSG00000114346
ENSG00000222009,2.07897797057561,ENSG00000222009
ENSG00000128266,-1.23567008724861,ENSG00000128266
ENSG00000117650,-1.29253387322051,ENSG00000117650
ENSG00000117407,-3.79073992695386,ENSG00000117407
ENSG00000100027,-2.1030322106067,ENSG00000100027
ENSG00000279464,-3.56521768522819,ENSG00000279464
ENSG00000279144,2.48325819894613,ENSG00000279144
ENSG00000159388,1.88864250209048,ENSG00000159388
ENSG00000237685,2.96629569292401,ENSG00000237685
ENSG00000275450,3.9148936282009,ENSG00000275450
ENSG00000133739,-1.54004333837616,ENSG00000133739
ENSG00000239389,-7.05415508785667,ENSG00000239389
ENSG00000152253,-1.34423715704562,ENSG00000152253
ENSG00000143889,-1.39801640852421,ENSG00000143889
ENSG00000101463,-1.73475089734269,ENSG00000101463
ENSG00000263400,-3.28172512710606,ENSG00000263400
ENSG00000021762,-1.37200981771296,ENSG00000021762
ENSG00000169679,-1.27150281249617,ENSG00000169679
ENSG00000066279,-1.37411362650958,ENSG00000066279
ENSG00000125846,1.76676798127908,ENSG00000125846
ENSG00000129007,-1.73360779018262,ENSG00000129007
ENSG00000184445,-1.12220660901779,ENSG00000184445
ENSG00000282057,1.65463744783344,ENSG00000282057
ENSG00000092529,-6.95919853368731,ENSG00000092529
ENSG00000174307,1.71859793525067,ENSG00000174307
ENSG00000270024,-5.01921272233589,ENSG00000270024
ENSG00000231995,1.9489899534881,ENSG00000231995
ENSG00000267120,-5.6561070691745,ENSG00000267120
ENSG00000156970,-1.23075905056673,ENSG00000156970
ENSG00000164118,-1.42963280747617,ENSG00000164118
ENSG00000277057,3.8202412684817,ENSG00000277057
ENSG00000175216,-1.21024161231033,ENSG00000175216
ENSG00000132274,1.23206755229778,ENSG00000132274
ENSG00000274258,3.77353585248469,ENSG00000274258
ENSG00000159228,-1.49130300356045,ENSG00000159228
ENSG00000257221,-2.48216211391302,ENSG00000257221
ENSG00000224331,4.20566356910896,ENSG00000224331
ENSG00000258788,2.47053902909059,ENSG00000258788
ENSG00000263513,-1.44372657921476,ENSG00000263513
ENSG00000177191,7.00920622814774,ENSG00000177191
ENSG00000231588,6.85503097063912,ENSG00000231588
ENSG00000142675,-2.13356169875021,ENSG00000142675
ENSG00000279561,-2.85755847107213,ENSG00000279561
ENSG00000176244,-1.86457244036384,ENSG00000176244
ENSG00000274627,1.64288911161526,ENSG00000274627
ENSG00000110075,-1.05471262014672,ENSG00000110075
ENSG00000260804,-1.26901779938564,ENSG00000260804
ENSG00000145949,-2.35655249258595,ENSG00000145949
ENSG00000100578,-1.23730054266166,ENSG00000100578
ENSG00000196810,-2.00646570354696,ENSG00000196810
ENSG00000183570,-1.59540500749329,ENSG00000183570
ENSG00000185215,1.21558101976473,ENSG00000185215
ENSG00000215784,-1.40331802863576,ENSG00000215784
ENSG00000035499,-1.2769203475321,ENSG00000035499
ENSG00000047188,-1.15977801019447,ENSG00000047188
ENSG00000166851,-1.09695816901905,ENSG00000166851
ENSG00000234123,2.47795200278146,ENSG00000234123
ENSG00000128833,-1.40281207197551,ENSG00000128833
ENSG00000242288,-2.6683875691825,ENSG00000242288
ENSG00000225345,-2.77522773052388,ENSG00000225345
ENSG00000259426,-1.97146213927041,ENSG00000259426
ENSG00000117399,-1.13395677257957,ENSG00000117399
ENSG00000106366,1.04771199347777,ENSG00000106366
