logFC,ensid
ENSG00000140451,-2.26778927434389,ENSG00000140451
ENSG00000108375,-2.67682145302143,ENSG00000108375
ENSG00000159388,1.86943358316084,ENSG00000159388
ENSG00000123405,-3.76483821775008,ENSG00000123405
ENSG00000105516,-1.74241712751755,ENSG00000105516
ENSG00000178343,-2.23547368141591,ENSG00000178343
ENSG00000181449,-2.34671660949303,ENSG00000181449
ENSG00000124762,1.67785182225182,ENSG00000124762
ENSG00000134222,-1.80159237103033,ENSG00000134222
ENSG00000143217,2.21250875454327,ENSG00000143217
ENSG00000133808,1.76454627734165,ENSG00000133808
ENSG00000113070,1.7175451750488,ENSG00000113070
ENSG00000118503,2.18639824357386,ENSG00000118503
ENSG00000277632,3.14684990868305,ENSG00000277632
ENSG00000101447,-1.67538480104642,ENSG00000101447
ENSG00000169184,-1.58860590989339,ENSG00000169184
ENSG00000023445,3.72020892877373,ENSG00000023445
ENSG00000185361,-1.53554491378975,ENSG00000185361
ENSG00000119508,2.01458720440925,ENSG00000119508
ENSG00000115641,1.39470974850014,ENSG00000115641
ENSG00000197852,1.29440617164087,ENSG00000197852
ENSG00000122641,2.46282580398593,ENSG00000122641
ENSG00000123358,1.42310093002456,ENSG00000123358
ENSG00000161682,-1.30123026134567,ENSG00000161682
ENSG00000167771,-1.82369824459023,ENSG00000167771
ENSG00000103064,1.28489407663383,ENSG00000103064
ENSG00000134954,1.3725447650912,ENSG00000134954
ENSG00000180340,-1.72350534936976,ENSG00000180340
ENSG00000135898,-1.77010823844833,ENSG00000135898
ENSG00000138271,1.80915126120022,ENSG00000138271
ENSG00000133392,-2.81643715728818,ENSG00000133392
ENSG00000258590,2.95470146074316,ENSG00000258590
ENSG00000160539,-1.80042588567552,ENSG00000160539
ENSG00000130052,-1.80105747477073,ENSG00000130052
ENSG00000146592,1.50899079807903,ENSG00000146592
ENSG00000260643,3.43156081070675,ENSG00000260643
ENSG00000204060,-1.26898331374236,ENSG00000204060
ENSG00000134690,-1.23991897644093,ENSG00000134690
ENSG00000106366,1.30790665848366,ENSG00000106366
ENSG00000166924,-1.5724334676171,ENSG00000166924
ENSG00000163347,2.37655578040033,ENSG00000163347
ENSG00000112984,-1.21128603720048,ENSG00000112984
ENSG00000168209,-1.11964620029079,ENSG00000168209
ENSG00000087586,-1.23584680220374,ENSG00000087586
ENSG00000139278,1.62285991984132,ENSG00000139278
ENSG00000128342,1.23053070011493,ENSG00000128342
ENSG00000115163,-1.25928202423821,ENSG00000115163
ENSG00000213347,-1.31327426649398,ENSG00000213347
ENSG00000135679,1.2783520200599,ENSG00000135679
ENSG00000140379,1.81990251511148,ENSG00000140379
ENSG00000100739,3.21591865990978,ENSG00000100739
ENSG00000182378,-1.26911059201132,ENSG00000182378
ENSG00000175906,-1.33506344772189,ENSG00000175906
ENSG00000260750,-3.00190846823907,ENSG00000260750
ENSG00000267909,-1.9465338304398,ENSG00000267909
ENSG00000095752,1.25751204540787,ENSG00000095752
ENSG00000206538,1.90431454851479,ENSG00000206538
ENSG00000105289,-1.35859166525059,ENSG00000105289
ENSG00000127084,-1.80603391254503,ENSG00000127084
ENSG00000144802,1.31977389312879,ENSG00000144802
ENSG00000174343,1.74880202409313,ENSG00000174343
ENSG00000109320,1.42487676525593,ENSG00000109320
ENSG00000115009,3.31462027243983,ENSG00000115009
ENSG00000112149,1.69117053218869,ENSG00000112149
ENSG00000123080,-1.05513860782284,ENSG00000123080
ENSG00000125378,-1.3000887868653,ENSG00000125378
ENSG00000177076,1.52279568607352,ENSG00000177076
ENSG00000247675,-1.57250463898386,ENSG00000247675
ENSG00000205978,-1.14537301010598,ENSG00000205978
ENSG00000238273,2.12290623548225,ENSG00000238273
ENSG00000047365,1.83497916766848,ENSG00000047365
ENSG00000134323,-1.67357557082186,ENSG00000134323
ENSG00000124145,1.18926157154969,ENSG00000124145
ENSG00000137135,-1.10737424527983,ENSG00000137135
ENSG00000221869,1.70031225938004,ENSG00000221869
ENSG00000188816,-1.26697155504279,ENSG00000188816
ENSG00000105649,-2.08383724599753,ENSG00000105649
ENSG00000130700,-1.43205872965442,ENSG00000130700
ENSG00000147130,-1.17289794296241,ENSG00000147130
ENSG00000158055,1.69800638536682,ENSG00000158055
ENSG00000162063,-1.32816723988031,ENSG00000162063
ENSG00000133639,1.39899614367043,ENSG00000133639
ENSG00000169429,2.99481924173748,ENSG00000169429
ENSG00000049249,2.33088895851468,ENSG00000049249
ENSG00000168685,1.14265066967175,ENSG00000168685
ENSG00000230098,1.55787914789758,ENSG00000230098
ENSG00000234996,-1.7183786047756,ENSG00000234996
ENSG00000143067,1.11336568131715,ENSG00000143067
ENSG00000085741,-2.11780490360225,ENSG00000085741
ENSG00000215045,-1.78458070756904,ENSG00000215045
ENSG00000056558,2.31411947098419,ENSG00000056558
ENSG00000095370,-2.30485814806753,ENSG00000095370
ENSG00000177508,-1.057728725466,ENSG00000177508
ENSG00000182580,-1.21985300042538,ENSG00000182580
ENSG00000166851,-1.17471533736324,ENSG00000166851
ENSG00000080546,1.63694350346415,ENSG00000080546
ENSG00000130513,1.55921406038142,ENSG00000130513
ENSG00000118985,1.57736650853008,ENSG00000118985
ENSG00000229647,1.49111651985474,ENSG00000229647
ENSG00000135451,-1.03869621598318,ENSG00000135451
ENSG00000153233,1.52368740107637,ENSG00000153233
ENSG00000261655,-1.524157176019,ENSG00000261655
ENSG00000111077,-1.20682110576351,ENSG00000111077
ENSG00000163293,1.52866431819887,ENSG00000163293
ENSG00000164093,-1.25427824690052,ENSG00000164093
ENSG00000123485,-1.10322546564849,ENSG00000123485
ENSG00000172738,1.7518620480633,ENSG00000172738
ENSG00000010818,1.09322020010659,ENSG00000010818
ENSG00000173846,1.22738201326512,ENSG00000173846
ENSG00000078401,1.26017248485024,ENSG00000078401
ENSG00000196132,-1.85618288844513,ENSG00000196132
ENSG00000147724,2.71488910395505,ENSG00000147724
ENSG00000179046,1.54901616052922,ENSG00000179046
ENSG00000065361,-1.32482331469915,ENSG00000065361
ENSG00000165424,-1.02093563666706,ENSG00000165424
ENSG00000213886,7.31931563511336,ENSG00000213886
ENSG00000250295,2.86874391863817,ENSG00000250295
ENSG00000089163,-1.57338397020124,ENSG00000089163
ENSG00000134107,1.06137209336807,ENSG00000134107
ENSG00000235944,-1.54847726708588,ENSG00000235944
ENSG00000157168,1.25351985770838,ENSG00000157168
ENSG00000275302,4.42702526865854,ENSG00000275302
ENSG00000189238,1.70813422801246,ENSG00000189238
ENSG00000131080,1.15441207803775,ENSG00000131080
ENSG00000222032,1.4639685065742,ENSG00000222032
ENSG00000170385,1.07011333430039,ENSG00000170385
ENSG00000078098,2.35724702682859,ENSG00000078098
ENSG00000104856,1.42509801712325,ENSG00000104856
ENSG00000196083,1.50269955432384,ENSG00000196083
ENSG00000188042,-0.88466844556152,ENSG00000188042
ENSG00000049192,1.20252075408148,ENSG00000049192
ENSG00000126878,-1.44100435226497,ENSG00000126878
ENSG00000103460,-1.64626147763324,ENSG00000103460
ENSG00000229873,6.83308581727343,ENSG00000229873
ENSG00000128944,-1.14873414304604,ENSG00000128944
ENSG00000120129,1.08745326301709,ENSG00000120129
ENSG00000181444,-1.85435003440427,ENSG00000181444
ENSG00000139211,0.979777378878509,ENSG00000139211
ENSG00000108691,3.26678455605252,ENSG00000108691
ENSG00000186648,-2.34474734177183,ENSG00000186648
ENSG00000184986,-1.44203530267783,ENSG00000184986
ENSG00000164651,-1.19144385644085,ENSG00000164651
ENSG00000179630,1.74788810781119,ENSG00000179630
ENSG00000167037,-1.30676429066134,ENSG00000167037
ENSG00000043039,-1.27416490021366,ENSG00000043039
ENSG00000120889,0.94366553529543,ENSG00000120889
ENSG00000180739,-1.21255271651768,ENSG00000180739
ENSG00000205683,-3.15918826323257,ENSG00000205683
ENSG00000174403,-1.78913785770627,ENSG00000174403
ENSG00000163485,-1.48722552794081,ENSG00000163485
ENSG00000174500,1.94681448296695,ENSG00000174500
ENSG00000125347,1.33613278778703,ENSG00000125347
ENSG00000278224,-1.43873521418258,ENSG00000278224
ENSG00000101096,1.30232351727426,ENSG00000101096
ENSG00000117228,2.0212312371792,ENSG00000117228
ENSG00000165821,-1.03099037119125,ENSG00000165821
ENSG00000156804,1.2785186982062,ENSG00000156804
ENSG00000196544,-1.32785419736516,ENSG00000196544
ENSG00000269113,-1.00353943049598,ENSG00000269113
ENSG00000106236,-1.71809177682004,ENSG00000106236
ENSG00000105327,1.17407812938029,ENSG00000105327
ENSG00000176909,-1.59843017526706,ENSG00000176909
ENSG00000142677,-1.4651735686353,ENSG00000142677
ENSG00000170836,1.20822852397981,ENSG00000170836
ENSG00000259605,-1.42008398627963,ENSG00000259605
ENSG00000164543,1.25826735519965,ENSG00000164543
ENSG00000179772,-1.26407866946482,ENSG00000179772
ENSG00000237649,-0.935111145437259,ENSG00000237649
ENSG00000268812,1.41817197562762,ENSG00000268812
ENSG00000130475,-1.14510845405547,ENSG00000130475
ENSG00000158458,-1.37090583455273,ENSG00000158458
ENSG00000250510,-1.07543365379994,ENSG00000250510
ENSG00000076826,-1.25060279338034,ENSG00000076826
ENSG00000050405,0.991990051741117,ENSG00000050405
ENSG00000184661,-1.02003865415277,ENSG00000184661
ENSG00000164023,1.38274305457784,ENSG00000164023
ENSG00000255443,5.9204026358227,ENSG00000255443
ENSG00000116990,-1.10414552574328,ENSG00000116990
ENSG00000163462,-1.4326400978206,ENSG00000163462
ENSG00000053747,1.6233766518988,ENSG00000053747
ENSG00000168874,-1.52204888018479,ENSG00000168874
ENSG00000176907,3.55886811321247,ENSG00000176907
ENSG00000241644,-2.49902540644237,ENSG00000241644
ENSG00000100647,0.971479391474556,ENSG00000100647
ENSG00000109321,1.04378462849089,ENSG00000109321
ENSG00000282988,-1.17771503692739,ENSG00000282988
ENSG00000214796,-1.16451799058281,ENSG00000214796
ENSG00000172350,-1.20910984670559,ENSG00000172350
ENSG00000168334,1.55824759665529,ENSG00000168334
ENSG00000159184,-1.12297566604939,ENSG00000159184
ENSG00000271741,-2.63610909781235,ENSG00000271741
ENSG00000270441,-2.05038412643643,ENSG00000270441
ENSG00000139926,0.936423305683479,ENSG00000139926
ENSG00000162692,6.36482138238967,ENSG00000162692
ENSG00000185033,-1.09339040609114,ENSG00000185033
ENSG00000203782,1.91129038796812,ENSG00000203782
ENSG00000141384,1.18858179118046,ENSG00000141384
ENSG00000153531,1.24481965384183,ENSG00000153531
ENSG00000049130,1.69972434115614,ENSG00000049130
ENSG00000089225,-2.38232447539847,ENSG00000089225
ENSG00000138623,1.25472715346031,ENSG00000138623
ENSG00000203883,-1.02193197464678,ENSG00000203883
ENSG00000162924,1.48639691396831,ENSG00000162924
ENSG00000164400,2.11512727094516,ENSG00000164400
ENSG00000125845,1.29948671592267,ENSG00000125845
ENSG00000148948,0.89852294807558,ENSG00000148948
ENSG00000136048,1.24978792756923,ENSG00000136048
ENSG00000121361,-1.13294428183292,ENSG00000121361
ENSG00000162772,1.34632779179636,ENSG00000162772
ENSG00000124496,-1.12957421976018,ENSG00000124496
ENSG00000197632,3.06582666638604,ENSG00000197632
ENSG00000082556,-1.37539902964233,ENSG00000082556
ENSG00000171798,-1.14482079617094,ENSG00000171798
ENSG00000169896,1.68406592302376,ENSG00000169896
ENSG00000129355,-1.08063458348105,ENSG00000129355
ENSG00000174807,-1.65034038015631,ENSG00000174807
ENSG00000174307,1.22781979562155,ENSG00000174307
ENSG00000237512,1.12521878265259,ENSG00000237512
ENSG00000183615,-1.46961764050606,ENSG00000183615
ENSG00000227295,1.52186223764942,ENSG00000227295
ENSG00000230246,-1.51675891356672,ENSG00000230246
ENSG00000238266,1.0445205603841,ENSG00000238266
ENSG00000137834,-1.06906128618724,ENSG00000137834
ENSG00000196072,1.46577586417202,ENSG00000196072
ENSG00000143630,-1.26937698426669,ENSG00000143630
ENSG00000088280,-0.88543273571114,ENSG00000088280
ENSG00000156273,1.1363043565277,ENSG00000156273
ENSG00000197409,-1.28112463268644,ENSG00000197409
ENSG00000237499,1.63741076807474,ENSG00000237499
ENSG00000111665,-0.849425490190585,ENSG00000111665
ENSG00000126351,-0.861576635360731,ENSG00000126351
ENSG00000168152,1.66105430864593,ENSG00000168152
ENSG00000137745,2.93160786321091,ENSG00000137745
ENSG00000206532,0.943364794989328,ENSG00000206532
ENSG00000197245,-1.20667113299846,ENSG00000197245
ENSG00000142698,-1.77499171961363,ENSG00000142698
ENSG00000279673,-1.11818628835198,ENSG00000279673
ENSG00000104967,-0.916733876367126,ENSG00000104967
ENSG00000167536,-1.05106384658558,ENSG00000167536
ENSG00000204131,1.3410470095685,ENSG00000204131
ENSG00000198142,0.813812144173447,ENSG00000198142
ENSG00000198771,2.75143146783398,ENSG00000198771
ENSG00000078237,1.29421144727481,ENSG00000078237
ENSG00000115297,-1.05694863531626,ENSG00000115297
ENSG00000131409,-0.986844605505066,ENSG00000131409
ENSG00000189275,1.80376561004338,ENSG00000189275
ENSG00000187486,-1.17010285846732,ENSG00000187486
ENSG00000152137,0.882062826924037,ENSG00000152137
ENSG00000260777,2.02314815488285,ENSG00000260777
ENSG00000176428,-0.989255792216413,ENSG00000176428
ENSG00000163661,1.23666067646677,ENSG00000163661
ENSG00000128268,-0.894385101848913,ENSG00000128268
ENSG00000138675,1.04334442288973,ENSG00000138675
ENSG00000137868,-0.860561773644359,ENSG00000137868
ENSG00000117016,-0.889554386707582,ENSG00000117016
ENSG00000112299,2.53370706439531,ENSG00000112299
ENSG00000075218,-0.78736350916425,ENSG00000075218
ENSG00000174327,-1.07214260345518,ENSG00000174327
ENSG00000213977,-1.41195276176035,ENSG00000213977
ENSG00000176040,3.96596123335871,ENSG00000176040
ENSG00000174788,-2.16919728620516,ENSG00000174788
ENSG00000143365,-2.21366676499307,ENSG00000143365
ENSG00000143772,-1.03313344164071,ENSG00000143772
ENSG00000020633,1.07354324401458,ENSG00000020633
ENSG00000127329,1.46128860365202,ENSG00000127329
ENSG00000197019,0.917740584914023,ENSG00000197019
ENSG00000132334,1.07973043776576,ENSG00000132334
ENSG00000146232,1.13535761288343,ENSG00000146232
ENSG00000162068,-1.14461300813623,ENSG00000162068
ENSG00000153317,0.800758292006211,ENSG00000153317
ENSG00000184221,-1.26039728013711,ENSG00000184221
ENSG00000225511,1.18160080293209,ENSG00000225511
ENSG00000176049,-1.05124111733766,ENSG00000176049
ENSG00000198517,0.847454122066862,ENSG00000198517
ENSG00000182575,-1.64702038710229,ENSG00000182575
ENSG00000019549,1.37002635095321,ENSG00000019549
ENSG00000270751,5.42144681318847,ENSG00000270751
ENSG00000077044,0.890482886879627,ENSG00000077044
ENSG00000222022,1.21607470137935,ENSG00000222022
ENSG00000145632,0.928717397884259,ENSG00000145632
ENSG00000232810,2.52055499853136,ENSG00000232810
ENSG00000157483,0.91038877771952,ENSG00000157483
ENSG00000163235,1.03299098058907,ENSG00000163235
ENSG00000185262,-1.03734427509606,ENSG00000185262
ENSG00000117586,2.0477218670433,ENSG00000117586
ENSG00000185338,-0.969017499886547,ENSG00000185338
ENSG00000265190,1.06490598988222,ENSG00000265190
ENSG00000123388,-0.978644627703499,ENSG00000123388
ENSG00000109670,0.974577925087168,ENSG00000109670
ENSG00000135476,-0.904509015517652,ENSG00000135476
ENSG00000177732,-0.869442900637987,ENSG00000177732
ENSG00000149927,-1.09274488856987,ENSG00000149927
ENSG00000171368,-1.00511144860439,ENSG00000171368
ENSG00000226819,-1.17292225828307,ENSG00000226819
ENSG00000183644,3.01140909784593,ENSG00000183644
ENSG00000140807,-1.00863903126964,ENSG00000140807
ENSG00000276850,1.07095017378943,ENSG00000276850
ENSG00000137273,-0.855979206936141,ENSG00000137273
ENSG00000237975,1.16646231790923,ENSG00000237975
ENSG00000120075,-1.09434393768341,ENSG00000120075
ENSG00000068137,-0.809421981055363,ENSG00000068137
ENSG00000089847,-1.08210365770255,ENSG00000089847
ENSG00000055118,-0.878444121137449,ENSG00000055118
ENSG00000131459,0.944989610258002,ENSG00000131459
ENSG00000282164,-1.43558545709715,ENSG00000282164
ENSG00000110218,0.807641324632451,ENSG00000110218
ENSG00000116717,1.00160275487677,ENSG00000116717
ENSG00000260912,2.00271184948439,ENSG00000260912
ENSG00000162975,1.02708953692885,ENSG00000162975
ENSG00000175984,1.2911314821756,ENSG00000175984
ENSG00000247095,-1.1937570016381,ENSG00000247095
ENSG00000186193,-0.947022323447702,ENSG00000186193
ENSG00000143590,-1.00933167015108,ENSG00000143590
ENSG00000177311,1.08295732159569,ENSG00000177311
ENSG00000185745,-1.30383980685439,ENSG00000185745
ENSG00000163735,3.73330575197444,ENSG00000163735
ENSG00000107807,-1.09033895844691,ENSG00000107807
ENSG00000111087,-0.919594521398462,ENSG00000111087
ENSG00000074855,-0.843284336531319,ENSG00000074855
ENSG00000103490,1.68910817421845,ENSG00000103490
ENSG00000149639,-1.01076381225233,ENSG00000149639
ENSG00000161835,-1.0413911286705,ENSG00000161835
ENSG00000256128,1.24542129290335,ENSG00000256128
ENSG00000138835,-0.881027694038684,ENSG00000138835
ENSG00000261468,1.82275976939079,ENSG00000261468
ENSG00000136122,-1.097612749488,ENSG00000136122
ENSG00000278238,-1.07390571504671,ENSG00000278238
ENSG00000196411,-0.947321733847288,ENSG00000196411
ENSG00000237149,-1.24343721882557,ENSG00000237149
ENSG00000254842,1.26601975350863,ENSG00000254842
ENSG00000125740,1.12626024294641,ENSG00000125740
ENSG00000048052,1.08702813808405,ENSG00000048052
ENSG00000121104,-0.979637740253987,ENSG00000121104
ENSG00000130766,0.946251764648318,ENSG00000130766
ENSG00000214357,-0.726033188286209,ENSG00000214357
ENSG00000173391,3.06113597022855,ENSG00000173391
