logFC,ensid
ENSG00000159388,3.24425057795318,ENSG00000159388
ENSG00000162490,3.0513235789393,ENSG00000162490
ENSG00000262714,5.65384520722829,ENSG00000262714
ENSG00000177595,2.17662689105406,ENSG00000177595
ENSG00000174307,2.21598090856241,ENSG00000174307
ENSG00000161513,2.3978735051769,ENSG00000161513
ENSG00000197852,2.12916613010555,ENSG00000197852
ENSG00000080546,2.21436844012783,ENSG00000080546
ENSG00000100647,1.91931048275519,ENSG00000100647
ENSG00000164938,1.96653899319149,ENSG00000164938
ENSG00000116717,1.88036330841063,ENSG00000116717
ENSG00000176046,4.74078818804723,ENSG00000176046
ENSG00000115129,2.15750191956236,ENSG00000115129
ENSG00000128342,2.79823591977972,ENSG00000128342
ENSG00000168918,2.92263952943366,ENSG00000168918
ENSG00000186994,3.42109373138915,ENSG00000186994
ENSG00000278249,9.95481625762233,ENSG00000278249
ENSG00000078237,1.81790048205267,ENSG00000078237
ENSG00000116514,1.79342019080854,ENSG00000116514
ENSG00000170734,1.81712228250465,ENSG00000170734
ENSG00000250337,1.80627800706409,ENSG00000250337
ENSG00000186529,4.2382489096178,ENSG00000186529
ENSG00000169252,4.3788548640553,ENSG00000169252
ENSG00000130766,1.65697441356787,ENSG00000130766
ENSG00000120738,2.75428469606593,ENSG00000120738
ENSG00000177551,3.64855438635379,ENSG00000177551
ENSG00000280027,4.09415577060757,ENSG00000280027
ENSG00000105327,1.73767200170019,ENSG00000105327
ENSG00000104689,3.32477263568065,ENSG00000104689
ENSG00000172667,1.61547894606617,ENSG00000172667
ENSG00000120889,1.54078522647654,ENSG00000120889
ENSG00000105650,3.70754867260314,ENSG00000105650
ENSG00000135423,3.22609774616214,ENSG00000135423
ENSG00000164070,1.92777864942748,ENSG00000164070
ENSG00000048392,1.60238732501159,ENSG00000048392
ENSG00000170324,3.18425261171232,ENSG00000170324
ENSG00000055163,1.39772846135692,ENSG00000055163
ENSG00000277287,3.87793421442868,ENSG00000277287
ENSG00000131080,1.74414028645052,ENSG00000131080
ENSG00000141682,1.41141849061306,ENSG00000141682
ENSG00000184371,2.36536783122117,ENSG00000184371
ENSG00000132517,9.1193734453591,ENSG00000132517
ENSG00000174898,6.45226992626263,ENSG00000174898
ENSG00000088836,2.6287453986938,ENSG00000088836
ENSG00000186115,5.38925154107929,ENSG00000186115
ENSG00000142677,3.61787928199407,ENSG00000142677
ENSG00000161642,1.89730787241097,ENSG00000161642
ENSG00000168209,1.43079322564134,ENSG00000168209
ENSG00000124762,2.6829607097999,ENSG00000124762
ENSG00000104848,3.70908580085561,ENSG00000104848
ENSG00000169118,1.4552504817977,ENSG00000169118
