logFC,ensid
ENSG00000159388,5.476370769452,ENSG00000159388
ENSG00000130513,5.18923173771032,ENSG00000130513
ENSG00000168497,5.73581815630399,ENSG00000168497
ENSG00000185668,7.59473744741329,ENSG00000185668
ENSG00000151640,4.17366714609821,ENSG00000151640
ENSG00000273802,5.79889217339708,ENSG00000273802
ENSG00000066279,-4.40207712185419,ENSG00000066279
ENSG00000161513,3.95677904678559,ENSG00000161513
ENSG00000172403,-4.32993564824527,ENSG00000172403
ENSG00000054793,-4.57247974364314,ENSG00000054793
ENSG00000160991,-4.52507462349041,ENSG00000160991
ENSG00000115129,3.39232026186423,ENSG00000115129
ENSG00000180573,3.54764197625275,ENSG00000180573
ENSG00000156970,-4.02224240233568,ENSG00000156970
ENSG00000104689,4.31308259333844,ENSG00000104689
ENSG00000010030,11.9077186973133,ENSG00000010030
ENSG00000055163,3.47852732318743,ENSG00000055163
ENSG00000142619,7.98284293679953,ENSG00000142619
ENSG00000151240,-3.41198403199949,ENSG00000151240
ENSG00000184678,3.38311349405295,ENSG00000184678
ENSG00000138778,-3.82712718172338,ENSG00000138778
ENSG00000024526,-3.80457268069695,ENSG00000024526
ENSG00000117724,-3.195795886002,ENSG00000117724
ENSG00000168394,3.0740199803419,ENSG00000168394
ENSG00000277287,6.03777283846762,ENSG00000277287
ENSG00000088836,4.89147114279323,ENSG00000088836
ENSG00000167992,4.56770342331281,ENSG00000167992
ENSG00000198431,-3.19448238158701,ENSG00000198431
ENSG00000260912,4.95217869797987,ENSG00000260912
ENSG00000120889,3.01145066519182,ENSG00000120889
ENSG00000177463,-3.75893751253097,ENSG00000177463
ENSG00000172828,7.01763025940951,ENSG00000172828
ENSG00000177595,3.29342718675529,ENSG00000177595
ENSG00000135423,7.95108162090504,ENSG00000135423
ENSG00000134057,-3.23532048299229,ENSG00000134057
ENSG00000087085,5.0404159436564,ENSG00000087085
ENSG00000166851,-3.21234587622264,ENSG00000166851
ENSG00000138160,-3.05802494004769,ENSG00000138160
ENSG00000126787,-3.23455462583111,ENSG00000126787
ENSG00000118193,-4.51234225270172,ENSG00000118193
ENSG00000169679,-3.57975127112086,ENSG00000169679
ENSG00000121621,-4.06272924018185,ENSG00000121621
ENSG00000173166,-5.43199695513768,ENSG00000173166
ENSG00000180155,3.52808893886501,ENSG00000180155
