logFC,ensid
ENSG00000178184,2.17197785314033,ENSG00000178184
ENSG00000164796,2.45758310418342,ENSG00000164796
ENSG00000090776,1.86321516857535,ENSG00000090776
ENSG00000258590,3.36114035951451,ENSG00000258590
ENSG00000132274,1.59363219632649,ENSG00000132274
ENSG00000152229,1.61119253596177,ENSG00000152229
ENSG00000171475,1.85039900625929,ENSG00000171475
ENSG00000002079,1.88266402795865,ENSG00000002079
ENSG00000277632,3.62836355076935,ENSG00000277632
ENSG00000275302,4.76808117352876,ENSG00000275302
ENSG00000198576,1.52759315481442,ENSG00000198576
ENSG00000132517,2.78323037055578,ENSG00000132517
ENSG00000040731,3.38934818828623,ENSG00000040731
ENSG00000258724,7.1557027916328,ENSG00000258724
ENSG00000150967,1.39972819071893,ENSG00000150967
ENSG00000137968,2.46851616063633,ENSG00000137968
ENSG00000100647,1.42686396198359,ENSG00000100647
ENSG00000249149,3.97024483008773,ENSG00000249149
ENSG00000182175,2.06888880107913,ENSG00000182175
ENSG00000162643,4.48383851497578,ENSG00000162643
ENSG00000157873,2.38434998426933,ENSG00000157873
ENSG00000177595,1.57562155593338,ENSG00000177595
ENSG00000100767,1.92721618614962,ENSG00000100767
ENSG00000236028,5.20822577848995,ENSG00000236028
ENSG00000130766,1.3239737812925,ENSG00000130766
ENSG00000168918,1.98224869650456,ENSG00000168918
ENSG00000055163,1.28711145452716,ENSG00000055163
ENSG00000174574,-1.2379899052264,ENSG00000174574
ENSG00000197852,1.58324227107871,ENSG00000197852
ENSG00000240891,1.51289841184509,ENSG00000240891
ENSG00000162702,1.19588344035977,ENSG00000162702
ENSG00000118946,1.9866810069517,ENSG00000118946
ENSG00000136531,2.4396245077999,ENSG00000136531
ENSG00000254101,1.47499432916563,ENSG00000254101
ENSG00000276085,2.25439654965755,ENSG00000276085
ENSG00000159388,1.8323020385109,ENSG00000159388
ENSG00000143344,1.38988793863081,ENSG00000143344
ENSG00000218018,6.57397329923386,ENSG00000218018
ENSG00000077713,-1.93570347440301,ENSG00000077713
ENSG00000181104,1.17264486485126,ENSG00000181104
ENSG00000260170,6.3875557293731,ENSG00000260170
ENSG00000172073,2.95785011743567,ENSG00000172073
ENSG00000048392,1.36415485794157,ENSG00000048392
ENSG00000091527,-1.42871189133648,ENSG00000091527
ENSG00000161513,1.13963779549831,ENSG00000161513
ENSG00000149256,2.22030712951426,ENSG00000149256
ENSG00000026103,1.88884082720633,ENSG00000026103
ENSG00000131080,1.188594009392,ENSG00000131080
ENSG00000165507,1.68821038675014,ENSG00000165507
ENSG00000278626,3.25495651569226,ENSG00000278626
ENSG00000151640,1.18061277042419,ENSG00000151640
ENSG00000273003,-7.91890226938659,ENSG00000273003
ENSG00000166592,2.48322362562278,ENSG00000166592
ENSG00000244509,1.30451355086378,ENSG00000244509
ENSG00000173846,1.12525864528507,ENSG00000173846
ENSG00000162772,1.63779585763688,ENSG00000162772
ENSG00000143217,2.27790476673221,ENSG00000143217
ENSG00000154822,1.21929218941397,ENSG00000154822
ENSG00000120889,1.0922052885573,ENSG00000120889
ENSG00000099889,1.12660161647135,ENSG00000099889
ENSG00000179841,-1.90578586692498,ENSG00000179841
ENSG00000070882,1.04198606073877,ENSG00000070882
ENSG00000224294,2.1964871795935,ENSG00000224294
