lncRNA,num_chipseq
ENSG00000235641,5
ENSG00000235786,11
ENSG00000235819,6
ENSG00000235831,5
ENSG00000235897,8
ENSG00000235908,12
ENSG00000235927,5
ENSG00000235931,5
ENSG00000236003,5
ENSG00000236028,7
ENSG00000236166,7
ENSG00000236262,12
ENSG00000236269,5
ENSG00000236333,5
ENSG00000236335,10
ENSG00000236364,6
ENSG00000236494,9
ENSG00000236495,11
ENSG00000236497,11
ENSG00000236501,17
ENSG00000236559,16
ENSG00000236700,5
ENSG00000236769,11
ENSG00000236882,5
ENSG00000236935,6
ENSG00000237074,10
ENSG00000237188,6
ENSG00000237400,5
ENSG00000237422,5
ENSG00000237423,15
ENSG00000237429,5
ENSG00000237471,7
ENSG00000237512,8
ENSG00000237520,5
ENSG00000237532,7
ENSG00000237605,12
ENSG00000237640,6
ENSG00000237664,5
ENSG00000237705,10
ENSG00000237716,5
ENSG00000237786,5
ENSG00000237819,6
ENSG00000237845,5
ENSG00000237862,12
ENSG00000237879,6
ENSG00000237883,5
ENSG00000237886,14
ENSG00000237943,5
ENSG00000237975,14
ENSG00000237989,5
ENSG00000238010,5
ENSG00000238019,5
ENSG00000238133,11
ENSG00000238141,5
ENSG00000238142,5
ENSG00000238195,7
ENSG00000238276,7
ENSG00000238279,13
ENSG00000239332,5
ENSG00000239335,7
ENSG00000239608,7
ENSG00000239941,8
ENSG00000240057,5
ENSG00000240476,6
ENSG00000240710,6
ENSG00000240766,7
ENSG00000240875,5
ENSG00000241048,6
ENSG00000241211,5
ENSG00000241269,8
ENSG00000241457,15
ENSG00000242190,9
ENSG00000242290,6
ENSG00000242622,8
ENSG00000242659,5
ENSG00000243818,7
ENSG00000243902,13
ENSG00000243903,6
ENSG00000244268,12
ENSG00000244332,6
ENSG00000244345,5
ENSG00000244619,7
ENSG00000244625,5
ENSG00000245025,11
ENSG00000245067,9
ENSG00000245248,8
ENSG00000245261,6
ENSG00000245317,5
ENSG00000245532,17
ENSG00000245648,6
ENSG00000245768,6
ENSG00000246022,6
ENSG00000246089,6
ENSG00000246090,8
ENSG00000246130,13
ENSG00000246263,17
ENSG00000246334,6
ENSG00000246339,8
ENSG00000246366,13
ENSG00000246548,5
ENSG00000246582,8
ENSG00000246627,14
ENSG00000246640,8
ENSG00000246792,7
ENSG00000246851,5
ENSG00000247011,17
ENSG00000247121,6
ENSG00000247151,5
ENSG00000247624,14
ENSG00000247699,7
ENSG00000247708,5
ENSG00000247950,5
ENSG00000248027,7
ENSG00000248100,7
ENSG00000248206,7
ENSG00000248242,5
ENSG00000248429,11
ENSG00000248494,6
ENSG00000248539,5
ENSG00000248599,10
ENSG00000248636,9
ENSG00000248884,6
ENSG00000248896,6
ENSG00000248962,14
ENSG00000248995,9
ENSG00000249086,6
ENSG00000249087,10
ENSG00000249131,8
ENSG00000249160,16
ENSG00000249293,8
ENSG00000249306,17
ENSG00000249318,5
ENSG00000249406,8
ENSG00000249417,6
ENSG00000249483,11
ENSG00000249491,15
ENSG00000249584,6
ENSG00000249609,6
ENSG00000249673,7
ENSG00000249688,5
ENSG00000249722,17
ENSG00000249816,6
ENSG00000249859,15
ENSG00000250041,9
ENSG00000250061,13
ENSG00000250106,6
ENSG00000250164,5
ENSG00000250320,7
ENSG00000250337,16
ENSG00000250379,6
ENSG00000250448,5
ENSG00000250453,6
ENSG00000250582,5
ENSG00000250659,6
ENSG00000250714,8
ENSG00000250748,14
ENSG00000250888,11
ENSG00000250889,5
ENSG00000250902,5
ENSG00000250969,7
ENSG00000250988,10
ENSG00000251022,7
ENSG00000251040,8
ENSG00000251045,5
ENSG00000251085,8
ENSG00000251132,12
ENSG00000251152,5
ENSG00000251183,6
ENSG00000251257,5
ENSG00000251259,7
ENSG00000251365,10
ENSG00000251405,6
ENSG00000251409,5
ENSG00000251460,13
ENSG00000251497,5
ENSG00000251562,5
ENSG00000251635,11
ENSG00000251660,7
ENSG00000251665,9
ENSG00000253161,5
ENSG00000253167,6
ENSG00000253182,6
ENSG00000253187,5
